local_authority,median_income,region,population,suicides,unemployment_rate,worthwhile,living_score
Daventry,33291.0140562249,East Midlands,NA,5,3.4165585,8.11,15.251
Derby,26714.9253731343,East Midlands,257034,23,4.11261131,7.89,21.078
Derbyshire Dales,30735.4104477611,East Midlands,71849,7,2.39106454,7.69,24.185
East Lindsey,23994.5,East Midlands,139718,19,4.2658948699999995,7.97,26.393
East Northamptonshire,31018.969838389,East Midlands,NA,14,2.88968568,7.97,14.07
Erewash,28539,East Midlands,115314,10,4.141937100000001,8.05,20.283
Gedling,29712.3403387988,East Midlands,117128,4,3.5816081399999997,8.01,12.855
Harborough,33633.0827067669,East Midlands,91461,9,2.2655908200000003,7.86,10.643
High Peak,30186.5671641791,East Midlands,92063,9,3.01875296,7.85,19.45
Hinckley and Bosworth,30806.2142857142,East Midlands,111370,8,3.3372106300000004,8,13.976
Kettering,29222,East Midlands,NA,8,3.8317244299999995,8.2,15.507
Leicester,22847.8091684435,East Midlands,353540,19,5.413675619999999,7.55,25.981
Lincoln,24764.0895522388,East Midlands,98438,20,5.49769313,8.16,15.438
Mansfield,26496.7320261437,East Midlands,108576,3,4.66306003,7.88,12.804
Melton,30856,East Midlands,50873,5,3.8912190399999997,8.02,18.782
Newark and Sherwood,29024.0963855421,East Midlands,120965,11,3.18022189,8.26,16.017
North East Derbyshire,28668,East Midlands,100780,6,3.6164852900000004,8.18,12.548
North Kesteven,29305,East Midlands,115230,6,2.76737286,8.18,13.252
North West Leicestershire,30687.25,East Midlands,100109,4,2.6577757099999997,8.01,12.045
Northampton,28986.6666666666,East Midlands,NA,17,4.18711476,7.66,18.827
Nottingham,23632.8358208955,East Midlands,329209,27,7.37241931,7.64,29.791
Oadby and Wigston,29121.0526315789,East Midlands,57035,8,2.78004236,7.98,9.13
Rushcliffe,34711.9851868477,East Midlands,115996,7,2.46953505,8.2,12.123
Rutland,32472.5,East Midlands,39474,1,2.37911981,8.03,15.669
South Derbyshire,31640.8635394456,East Midlands,102385,9,2.51502113,8.21,18.192
South Holland,26831,East Midlands,93295,8,3.51870942,7.6,14.623
South Kesteven,29812,East Midlands,141662,15,2.95663053,7.99,13.151
South Northamptonshire,35827,East Midlands,NA,8,2.4404274999999997,7.7,13.232
Wellingborough,28257,East Midlands,NA,11,3.64877849,7.94,13.821
West Lindsey,28355,East Midlands,94340,15,3.7410850699999996,8.15,21.565
Birmingham,24850.9803921568,West Midlands,1137123,74,7.29256634,7.73,40.841
Bromsgrove,33297.0149253731,West Midlands,97594,6,3.24617543,8.12,12.136
Cannock Chase,28218.4971098265,West Midlands,99126,15,3.74157812,7.99,15.205
Coventry,27142.0526315789,West Midlands,360149,29,4.84024549,7.71,32.103
Dudley,26871.4285714285,West Midlands,319419,33,5.98510856,7.54,24.049
East Staffordshire,28901.625,West Midlands,117552,10,3.00302649,7.89,29.436
"Herefordshire, County of",27651.4925373134,West Midlands,191041,16,2.77913017,8.04,34.71
Lichfield,31522.3880597014,West Midlands,103507,10,2.64737141,8.25,11.842
Malvern Hills,30149.6268656716,West Midlands,77165,6,3.2575256599999998,7.93,27.831
Newcastle-under-Lyme,28475.7142857142,West Midlands,128963,15,3.6584496,7.74,16.399
North Warwickshire,30642,West Midlands,64069,5,3.06034011,7.97,22.43
Nuneaton and Bedworth,28764.0167364016,West Midlands,128659,8,4.52443098,7.86,18.541
Redditch,29496.1203007518,West Midlands,85204,7,3.91450932,7.9,8.412
Rugby,31674.4360902255,West Midlands,106350,5,3.73612764,7.81,17.229
Sandwell,24474.5098039215,West Midlands,325460,31,6.965124759999999,7.63,37.156
Shropshire,28464,West Midlands,317459,28,3,7.97,28.49
Solihull,33040.5063965884,West Midlands,213933,30,4.18372541,7.96,13.257
South Staffordshire,30761.0187016723,West Midlands,111890,10,2.77617669,8.25,17.731
Stafford,31610.4575163398,West Midlands,134764,16,2.88718478,7.98,15.299
Staffordshire Moorlands,28793.6815920398,West Midlands,98496,13,2.89696718,8.08,20.639
Stoke-on-Trent,24739.2857142857,West Midlands,255378,32,5.40329385,7.75,23.446
Stratford-on-Avon,32613.6129696345,West Midlands,125202,15,2.69279119,7.68,23.282
Tamworth,29386.4285714285,West Midlands,76527,4,4.11302656,7.64,10.662
Telford and Wrekin,28059.3984962406,West Midlands,175768,11,4.776796979999999,7.82,9.424
Walsall,25219,West Midlands,281293,19,5.73017863,7.8,26.678
Warwick,34165.5425878128,West Midlands,140282,12,2.4720419000000002,8.06,17.826
Wolverhampton,24866.917293233,West Midlands,259926,15,7.5351105,7.56,26.558
Worcester,28919,West Midlands,102314,13,3.38643883,7.76,26.35
Wychavon,30528,West Midlands,125378,18,2.9488517400000003,8.01,22.46
Wyre Forest,27118.0722891566,West Midlands,100715,8,3.1282731699999995,7.99,23.294
Babergh,29907.5187969924,East of England,90794,6,3.23998852,8,19.409
Basildon,31591,East of England,184479,24,4.25480015,7.61,10.265
Bedford,30649.790794979,East of England,169912,23,4.14811478,7.9,19.761
Braintree,31295,East of England,151677,14,2.91623043,7.88,13.819
Breckland,27528.5714285714,East of England,138602,20,3.64758523,8.21,18.319
Brentwood,38583,East of England,76575,8,3.38274459,8.22,9.72
Broadland,29675.7142857142,East of England,128535,13,2.9340007800000003,8.14,15.325
Broxbourne,32152.7196652719,East of England,96762,14,3.6219244900000005,8.31,14.492
Cambridge,33689,East of England,124919,8,3.5278429200000003,7.77,28.653
Castle Point,30607.9776119402,East of England,89814,6,3.18265271,7.96,8.887
Central Bedfordshire,34309.6385542168,East of England,280030,25,2.9919781407856685,7.86,14.341
Chelmsford,35286.4661654135,East of England,176194,22,3.39536517,7.73,12.476
Colchester,30358.2914572864,East of England,190098,20,3.4896598799999996,7.73,12.819
Dacorum,35673.202614379,East of England,153316,10,3.09759092,8.06,9.537
East Cambridgeshire,32456,East of England,88858,7,2.41269005,7.66,14.671
East Hertfordshire,37710,East of England,147080,9,2.65919513,7.82,11.087
Epping Forest,34971,East of England,130576,7,3.6583552800000003,7.74,16.876
Fenland,26661.5970149253,East of England,100776,14,3.65417767,7.78,15.459
Forest Heath,28454.1353383458,East of England,NA,NA,NA,NA,NA
Great Yarmouth,24242.5526315789,East of England,99417,9,8.48135944,7.66,24.196
Harlow,29877,East of England,86191,21,4.244577540000001,7.74,3.885
Hertsmere,35024,East of England,104031,8,3.88946884,8.04,12.905
Huntingdonshire,33436.9285714285,East of England,176979,20,2.59561453,7.92,14.752
